Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,272.149994,272.859985,271.579987,272.149994,263.163391,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,260.136688,115908600
2018-05-30,270.500000,273.109985,270.420013,272.609985,263.608154,69678400
2018-05-31,272.149994,272.489990,270.260010,270.940002,261.993317,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,264.565521,71258400
2018-06-04,274.529999,275.190002,274.260010,274.899994,265.822601,45385200
2018-06-05,275.049988,275.529999,274.179993,275.100006,266.015961,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,268.240021,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,268.210999,72969400
2018-06-08,276.850006,278.250000,276.660004,278.190002,269.003937,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,269.361755,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,269.709839,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,268.849182,79070600
2018-06-14,279.010010,279.329987,278.059998,278.730011,269.526123,77097600
2018-06-15,276.600006,277.510010,275.350006,277.130005,269.182251,120041600
2018-06-18,275.489990,276.700012,274.950012,276.559998,268.628632,52917600
2018-06-19,274.000000,275.750000,273.529999,275.500000,267.598999,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,268.055511,53785500
2018-06-21,275.959991,275.980011,273.679993,274.239990,266.375122,71061400
2018-06-22,275.660004,275.790009,274.489990,274.739990,266.860779,54898500
2018-06-25,273.440002,273.619995,269.100006,271.000000,263.228058,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,263.810883,68547400
2018-06-27,272.260010,273.869995,269.179993,269.350006,261.625366,105110700
2018-06-28,269.290009,271.750000,268.489990,270.890015,263.121185,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,263.500031,97592500
2018-07-02,269.510010,272.040009,269.239990,271.859985,264.063416,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,263.130920,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,265.277527,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,267.521301,66493700
2018-07-09,276.549988,277.959991,276.500000,277.899994,269.930176,50550400
2018-07-10,278.410004,279.010010,278.079987,278.899994,270.901459,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,268.920013,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,271.358002,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,271.571716,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,271.328888,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,272.426483,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,272.999573,44593500
2018-07-19,280.309998,280.739990,279.459991,280.000000,271.969940,61412100
2018-07-20,279.769989,280.480011,279.500000,279.679993,271.659119,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,272.164185,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,273.533752,68026900
2018-07-25,281.329987,284.369995,281.279999,284.010010,275.864929,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,275.214172,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,273.349243,76768700
2018-07-30,281.510010,281.690002,279.359985,279.950012,271.921417,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,273.261749,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,272.805267,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,274.291412,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,275.466705,53935400
2018-08-06,283.640015,284.989990,283.200012,284.640015,276.476868,39400900
2018-08-07,285.390015,286.010010,285.239990,285.579987,277.389893,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,277.273346,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,276.894562,35717000
2018-08-10,283.450012,284.059998,282.359985,283.160004,275.039337,77076000
2018-08-13,283.470001,284.160004,281.769989,282.100006,274.009735,65732900
2018-08-14,282.920013,284.170013,282.480011,283.899994,275.758087,43842000
2018-08-15,282.380005,282.540009,280.160004,281.779999,273.698914,102925400
2018-08-16,283.399994,285.040009,283.359985,284.059998,275.913544,69967900
2018-08-17,283.829987,285.559998,283.369995,285.059998,276.884857,65618500
2018-08-20,285.570007,285.970001,285.059998,285.670013,277.477356,39807500
2018-08-21,286.250000,287.309998,285.709991,286.339996,278.128113,67272000
2018-08-22,285.880005,286.760010,285.579987,286.170013,277.962982,44993300
2018-08-23,285.970001,286.940002,285.429993,285.790009,277.593933,49204900
2018-08-24,286.440002,287.670013,286.380005,287.510010,279.264557,57487400
2018-08-27,288.859985,289.899994,288.679993,289.779999,281.469482,57072400
2018-08-28,290.299988,290.420013,289.399994,289.920013,281.605438,46943500
2018-08-29,290.160004,291.739990,289.890015,291.480011,283.120697,61485500
2018-08-30,290.940002,291.359985,289.630005,290.299988,281.974548,61229500
2018-08-31,289.839996,290.809998,289.290009,290.309998,281.984253,66140800
2018-09-04,289.839996,290.209991,288.679993,289.809998,281.498596,57594400
2018-09-05,289.410004,289.640015,287.890015,289.029999,280.740967,72452400
2018-09-06,289.149994,289.489990,287.000000,288.160004,279.895935,65909900
2018-09-07,286.980011,288.700012,286.709991,287.600006,279.351990,73524800
2018-09-10,288.739990,289.040009,287.880005,288.100006,279.837646,50210900
2018-09-11,287.369995,289.549988,286.980011,289.049988,280.760345,50530500
2018-09-12,289.059998,289.799988,288.230011,289.119995,280.828400,59810800
2018-09-13,290.320007,291.040009,290.000000,290.829987,282.489349,51034200
2018-09-14,291.059998,291.269989,290.000000,290.880005,282.537903,55079900
2018-09-17,290.820007,290.859985,289.029999,289.339996,281.042053,68244000
2018-09-18,289.579987,291.579987,289.549988,290.910004,282.567078,61930400
2018-09-19,290.970001,291.690002,290.829987,291.220001,282.868195,49080600
2018-09-20,292.640015,293.940002,291.239990,293.579987,285.160492,100360600
2018-09-21,293.089996,293.220001,291.809998,291.989990,284.899933,105479700
2018-09-24,291.339996,291.500000,290.369995,291.019989,283.953522,53409600
2018-09-25,291.529999,291.649994,290.480011,290.750000,283.690033,44370000
2018-09-26,290.910004,292.239990,289.410004,289.880005,282.841217,79739700
2018-09-27,290.410004,291.910004,290.100006,290.690002,283.631531,59249500
2018-09-28,289.989990,291.279999,289.950012,290.720001,283.660828,70091400
2018-10-01,292.109985,292.929993,290.980011,291.730011,284.646301,62078900
2018-10-02,291.559998,292.359985,291.140015,291.559998,284.480408,47258200
2018-10-03,292.739990,293.209991,291.320007,291.720001,284.636536,64694600
2018-10-04,291.179993,291.239990,287.660004,289.440002,282.411896,111545900
2018-10-05,289.690002,290.269989,286.220001,287.820007,280.831207,105951700
2018-10-08,287.049988,288.220001,285.500000,287.820007,280.831207,87742200
2018-10-09,287.390015,288.859985,286.769989,287.399994,280.421417,74339000
2018-10-10,286.829987,286.910004,277.880005,278.299988,271.542389,214731000
2018-10-11,277.079987,278.899994,270.359985,272.170013,265.561279,274840500
2018-10-12,276.769989,277.089996,272.369995,275.950012,269.249481,183186500
2018-10-15,275.549988,277.040009,274.299988,274.399994,267.737091,102263700
2018-10-16,276.600006,280.820007,276.070007,280.399994,273.591370,118255800
2018-10-17,280.440002,281.149994,277.559998,280.450012,273.640198,110626000
2018-10-18,279.399994,280.070007,274.970001,276.399994,269.688507,134557500
2018-10-19,277.130005,279.299988,275.470001,276.250000,269.542175,139901600
2018-10-22,277.000000,277.359985,274.410004,275.010010,268.332275,82415800
2018-10-23,270.950012,274.869995,268.609985,273.609985,266.966278,146352700
2018-10-24,273.329987,273.760010,264.700012,265.320007,258.877594,177806700
